"","wkkey","prodkey","choice","avaind","brand2","brand3","brand4","price"
"1",1,1,0,0,0,0,0,2
"2",1,2,450,1,1,0,0,3
"3",1,3,36,1,0,1,0,4
"4",1,4,14,1,0,0,1,5
"445",2,1,365,1,0,0,0,2
"446",2,2,116,1,1,0,0,3
"447",2,3,0,0,0,1,0,6
"448",2,4,19,1,0,0,1,4
"889",3,1,41,1,0,0,0,3
"890",3,2,38,1,1,0,0,6
"891",3,3,0,0,0,1,0,5
"892",3,4,421,1,0,0,1,2
"1333",4,1,0,0,0,0,0,5
"1334",4,2,461,1,1,0,0,2
"1335",4,3,6,1,0,1,0,6
"1336",4,4,33,1,0,0,1,3
"1777",5,1,442,1,0,0,0,3
"1778",5,2,0,0,1,0,0,4
"1779",5,3,46,1,0,1,0,5
"1780",5,4,12,1,0,0,1,6
"1825",6,1,30,1,0,0,0,3
"1826",6,2,66,1,1,0,0,4
"1827",6,3,404,1,0,1,0,2
"1828",6,4,0,0,0,0,1,5
"1869",7,1,42,1,0,0,0,5
"1870",7,2,0,0,1,0,0,2
"1871",7,3,40,1,0,1,0,6
"1872",7,4,418,1,0,0,1,4
"1913",8,1,359,1,0,0,0,3
"1914",8,2,118,1,1,0,0,4
"1915",8,3,23,1,0,1,0,5
"1916",8,4,0,0,0,0,1,6
"1957",9,1,29,1,0,0,0,5
"1958",9,2,0,0,1,0,0,2
"1959",9,3,68,1,0,1,0,4
"1960",9,4,403,1,0,0,1,3
"5",10,1,0,0,0,0,0,5
"6",10,2,452,1,1,0,0,2
"7",10,3,47,1,0,1,0,3
"8",10,4,1,1,0,0,1,6
"49",11,1,365,1,0,0,0,3
"50",11,2,65,1,1,0,0,5
"51",11,3,0,0,0,1,0,2
"52",11,4,70,1,0,0,1,4
"93",12,1,12,1,0,0,0,5
"94",12,2,0,0,1,0,0,3
"95",12,3,480,1,0,1,0,2
"96",12,4,8,1,0,0,1,6
"137",13,1,435,1,0,0,0,2
"138",13,2,46,1,1,0,0,6
"139",13,3,0,0,0,1,0,4
"140",13,4,19,1,0,0,1,5
"181",14,1,10,1,0,0,0,6
"182",14,2,97,1,1,0,0,5
"183",14,3,393,1,0,1,0,4
"184",14,4,0,0,0,0,1,3
"225",15,1,398,1,0,0,0,2
"226",15,2,0,0,1,0,0,4
"227",15,3,20,1,0,1,0,6
"228",15,4,82,1,0,0,1,3
"269",16,1,0,0,0,0,0,6
"270",16,2,460,1,1,0,0,2
"271",16,3,29,1,0,1,0,3
"272",16,4,11,1,0,0,1,4
"313",17,1,0,0,0,0,0,6
"314",17,2,78,1,1,0,0,3
"315",17,3,405,1,0,1,0,2
"316",17,4,17,1,0,0,1,4
"357",18,1,414,1,0,0,0,2
"358",18,2,65,1,1,0,0,5
"359",18,3,21,1,0,1,0,6
"360",18,4,0,0,0,0,1,4
"401",19,1,0,0,0,0,0,4
"402",19,2,109,1,1,0,0,3
"403",19,3,8,1,0,1,0,6
"404",19,4,383,1,0,0,1,2
"449",20,1,392,1,0,0,0,2
"450",20,2,0,0,1,0,0,4
"451",20,3,94,1,0,1,0,3
"452",20,4,14,1,0,0,1,5
"493",21,1,440,1,0,0,0,2
"494",21,2,0,0,1,0,0,3
"495",21,3,15,1,0,1,0,6
"496",21,4,45,1,0,0,1,4
"537",22,1,9,1,0,0,0,6
"538",22,2,475,1,1,0,0,3
"539",22,3,0,0,0,1,0,2
"540",22,4,16,1,0,0,1,5
"581",23,1,403,1,0,0,0,3
"582",23,2,81,1,1,0,0,5
"583",23,3,16,1,0,1,0,6
"584",23,4,0,0,0,0,1,4
"625",24,1,400,1,0,0,0,3
"626",24,2,0,0,1,0,0,6
"627",24,3,35,1,0,1,0,5
"628",24,4,65,1,0,0,1,4
"669",25,1,20,1,0,0,0,5
"670",25,2,0,0,1,0,0,4
"671",25,3,465,1,0,1,0,3
"672",25,4,15,1,0,0,1,6
"713",26,1,3,1,0,0,0,5
"714",26,2,491,1,1,0,0,2
"715",26,3,0,0,0,1,0,4
"716",26,4,6,1,0,0,1,6
"757",27,1,12,1,0,0,0,6
"758",27,2,0,0,1,0,0,5
"759",27,3,75,1,0,1,0,4
"760",27,4,413,1,0,0,1,3
"801",28,1,444,1,0,0,0,3
"802",28,2,0,0,1,0,0,4
"803",28,3,26,1,0,1,0,6
"804",28,4,30,1,0,0,1,5
"845",29,1,5,1,0,0,0,6
"846",29,2,484,1,1,0,0,3
"847",29,3,11,1,0,1,0,5
"848",29,4,0,0,0,0,1,2
"893",30,1,382,1,0,0,0,3
"894",30,2,52,1,1,0,0,6
"895",30,3,0,0,0,1,0,2
"896",30,4,66,1,0,0,1,4
"937",31,1,8,1,0,0,0,6
"938",31,2,458,1,1,0,0,3
"939",31,3,34,1,0,1,0,4
"940",31,4,0,0,0,0,1,5
"981",32,1,0,0,0,0,0,2
"982",32,2,448,1,1,0,0,3
"983",32,3,49,1,0,1,0,4
"984",32,4,3,1,0,0,1,6
"1025",33,1,6,1,0,0,0,6
"1026",33,2,80,1,1,0,0,4
"1027",33,3,0,0,0,1,0,3
"1028",33,4,414,1,0,0,1,2
"1069",34,1,0,0,0,0,0,6
"1070",34,2,67,1,1,0,0,4
"1071",34,3,21,1,0,1,0,5
"1072",34,4,412,1,0,0,1,2
"1113",35,1,0,0,0,0,0,5
"1114",35,2,452,1,1,0,0,3
"1115",35,3,43,1,0,1,0,4
"1116",35,4,5,1,0,0,1,6
"1157",36,1,434,1,0,0,0,3
"1158",36,2,0,0,1,0,0,2
"1159",36,3,37,1,0,1,0,6
"1160",36,4,29,1,0,0,1,5
"1201",37,1,0,0,0,0,0,5
"1202",37,2,97,1,1,0,0,4
"1203",37,3,387,1,0,1,0,3
"1204",37,4,16,1,0,0,1,6
"1245",38,1,10,1,0,0,0,6
"1246",38,2,0,0,1,0,0,2
"1247",38,3,441,1,0,1,0,3
"1248",38,4,49,1,0,0,1,4
"1289",39,1,15,1,0,0,0,5
"1290",39,2,49,1,1,0,0,6
"1291",39,3,436,1,0,1,0,3
"1292",39,4,0,0,0,0,1,4
"1337",40,1,2,1,0,0,0,5
"1338",40,2,461,1,1,0,0,2
"1339",40,3,37,1,0,1,0,3
"1340",40,4,0,0,0,0,1,4
"1381",41,1,34,1,0,0,0,4
"1382",41,2,457,1,1,0,0,3
"1383",41,3,9,1,0,1,0,6
"1384",41,4,0,0,0,0,1,5
"1425",42,1,17,1,0,0,0,5
"1426",42,2,0,0,1,0,0,6
"1427",42,3,470,1,0,1,0,2
"1428",42,4,13,1,0,0,1,4
"1469",43,1,14,1,0,0,0,5
"1470",43,2,0,0,1,0,0,6
"1471",43,3,457,1,0,1,0,2
"1472",43,4,29,1,0,0,1,4
"1513",44,1,0,0,0,0,0,4
"1514",44,2,51,1,1,0,0,5
"1515",44,3,442,1,0,1,0,2
"1516",44,4,7,1,0,0,1,6
"1557",45,1,6,1,0,0,0,6
"1558",45,2,0,0,1,0,0,4
"1559",45,3,477,1,0,1,0,2
"1560",45,4,17,1,0,0,1,5
"1601",46,1,0,0,0,0,0,4
"1602",46,2,479,1,1,0,0,3
"1603",46,3,10,1,0,1,0,6
"1604",46,4,11,1,0,0,1,5
"1645",47,1,27,1,0,0,0,5
"1646",47,2,51,1,1,0,0,6
"1647",47,3,0,0,0,1,0,3
"1648",47,4,422,1,0,0,1,2
"1689",48,1,404,1,0,0,0,2
"1690",48,2,33,1,1,0,0,6
"1691",48,3,0,0,0,1,0,5
"1692",48,4,63,1,0,0,1,3
"1733",49,1,0,0,0,0,0,2
"1734",49,2,71,1,1,0,0,5
"1735",49,3,421,1,0,1,0,3
"1736",49,4,8,1,0,0,1,6
"1781",50,1,0,0,0,0,0,2
"1782",50,2,478,1,1,0,0,3
"1783",50,3,7,1,0,1,0,6
"1784",50,4,15,1,0,0,1,5
"1789",51,1,17,1,0,0,0,4
"1790",51,2,58,1,1,0,0,5
"1791",51,3,0,0,0,1,0,3
"1792",51,4,425,1,0,0,1,2
"1793",52,1,0,0,0,0,0,5
"1794",52,2,55,1,1,0,0,4
"1795",52,3,50,1,0,1,0,3
"1796",52,4,395,1,0,0,1,2
"1797",53,1,397,1,0,0,0,2
"1798",53,2,0,0,1,0,0,4
"1799",53,3,91,1,0,1,0,3
"1800",53,4,12,1,0,0,1,5
"1801",54,1,57,1,0,0,0,3
"1802",54,2,0,0,1,0,0,4
"1803",54,3,18,1,0,1,0,6
"1804",54,4,425,1,0,0,1,2
"1805",55,1,2,1,0,0,0,6
"1806",55,2,482,1,1,0,0,2
"1807",55,3,16,1,0,1,0,4
"1808",55,4,0,0,0,0,1,3
"1809",56,1,408,1,0,0,0,2
"1810",56,2,59,1,1,0,0,5
"1811",56,3,0,0,0,1,0,3
"1812",56,4,33,1,0,0,1,4
"1813",57,1,10,1,0,0,0,5
"1814",57,2,484,1,1,0,0,3
"1815",57,3,0,0,0,1,0,4
"1816",57,4,6,1,0,0,1,6
"1817",58,1,366,1,0,0,0,3
"1818",58,2,117,1,1,0,0,4
"1819",58,3,0,0,0,1,0,2
"1820",58,4,17,1,0,0,1,5
"1821",59,1,363,1,0,0,0,2
"1822",59,2,126,1,1,0,0,3
"1823",59,3,0,0,0,1,0,6
"1824",59,4,11,1,0,0,1,4
"1829",60,1,3,1,0,0,0,6
"1830",60,2,487,1,1,0,0,2
"1831",60,3,10,1,0,1,0,5
"1832",60,4,0,0,0,0,1,3
"1833",61,1,26,1,0,0,0,5
"1834",61,2,66,1,1,0,0,6
"1835",61,3,408,1,0,1,0,4
"1836",61,4,0,0,0,0,1,2
"1837",62,1,0,0,0,0,0,5
"1838",62,2,67,1,1,0,0,4
"1839",62,3,428,1,0,1,0,2
"1840",62,4,5,1,0,0,1,6
"1841",63,1,0,0,0,0,0,5
"1842",63,2,445,1,1,0,0,2
"1843",63,3,45,1,0,1,0,3
"1844",63,4,10,1,0,0,1,4
"1845",64,1,0,0,0,0,0,5
"1846",64,2,480,1,1,0,0,2
"1847",64,3,6,1,0,1,0,6
"1848",64,4,14,1,0,0,1,4
"1849",65,1,0,0,0,0,0,4
"1850",65,2,48,1,1,0,0,6
"1851",65,3,29,1,0,1,0,5
"1852",65,4,423,1,0,0,1,3
"1853",66,1,19,1,0,0,0,4
"1854",66,2,472,1,1,0,0,3
"1855",66,3,9,1,0,1,0,6
"1856",66,4,0,0,0,0,1,5
"1857",67,1,0,0,0,0,0,4
"1858",67,2,44,1,1,0,0,5
"1859",67,3,64,1,0,1,0,3
"1860",67,4,392,1,0,0,1,2
"1861",68,1,21,1,0,0,0,5
"1862",68,2,0,0,1,0,0,6
"1863",68,3,434,1,0,1,0,3
"1864",68,4,45,1,0,0,1,4
"1865",69,1,32,1,0,0,0,3
"1866",69,2,466,1,1,0,0,2
"1867",69,3,0,0,0,1,0,4
"1868",69,4,2,1,0,0,1,6
"1873",70,1,0,0,0,0,0,2
"1874",70,2,479,1,1,0,0,3
"1875",70,3,6,1,0,1,0,6
"1876",70,4,15,1,0,0,1,5
"1877",71,1,31,1,0,0,0,5
"1878",71,2,72,1,1,0,0,6
"1879",71,3,0,0,0,1,0,3
"1880",71,4,397,1,0,0,1,4
"1881",72,1,0,0,0,0,0,3
"1882",72,2,75,1,1,0,0,4
"1883",72,3,11,1,0,1,0,6
"1884",72,4,414,1,0,0,1,2
"1885",73,1,0,0,0,0,0,3
"1886",73,2,480,1,1,0,0,2
"1887",73,3,4,1,0,1,0,5
"1888",73,4,16,1,0,0,1,4
"1889",74,1,0,0,0,0,0,3
"1890",74,2,60,1,1,0,0,6
"1891",74,3,401,1,0,1,0,4
"1892",74,4,39,1,0,0,1,5
"1893",75,1,2,1,0,0,0,6
"1894",75,2,482,1,1,0,0,2
"1895",75,3,0,0,0,1,0,3
"1896",75,4,16,1,0,0,1,4
"1897",76,1,6,1,0,0,0,6
"1898",76,2,75,1,1,0,0,4
"1899",76,3,419,1,0,1,0,2
"1900",76,4,0,0,0,0,1,3
"1901",77,1,6,1,0,0,0,5
"1902",77,2,482,1,1,0,0,3
"1903",77,3,0,0,0,1,0,2
"1904",77,4,12,1,0,0,1,6
"1905",78,1,0,0,0,0,0,6
"1906",78,2,62,1,1,0,0,5
"1907",78,3,53,1,0,1,0,4
"1908",78,4,385,1,0,0,1,3
"1909",79,1,418,1,0,0,0,2
"1910",79,2,75,1,1,0,0,4
"1911",79,3,7,1,0,1,0,6
"1912",79,4,0,0,0,0,1,3
"1917",80,1,416,1,0,0,0,2
"1918",80,2,56,1,1,0,0,6
"1919",80,3,28,1,0,1,0,4
"1920",80,4,0,0,0,0,1,3
"1921",81,1,12,1,0,0,0,4
"1922",81,2,90,1,1,0,0,3
"1923",81,3,398,1,0,1,0,2
"1924",81,4,0,0,0,0,1,5
"1925",82,1,0,0,0,0,0,5
"1926",82,2,23,1,1,0,0,6
"1927",82,3,441,1,0,1,0,2
"1928",82,4,36,1,0,0,1,4
"1929",83,1,377,1,0,0,0,2
"1930",83,2,53,1,1,0,0,5
"1931",83,3,70,1,0,1,0,3
"1932",83,4,0,0,0,0,1,4
"1933",84,1,0,0,0,0,0,4
"1934",84,2,93,1,1,0,0,3
"1935",84,3,402,1,0,1,0,2
"1936",84,4,5,1,0,0,1,6
"1937",85,1,0,0,0,0,0,3
"1938",85,2,479,1,1,0,0,2
"1939",85,3,19,1,0,1,0,4
"1940",85,4,2,1,0,0,1,6
"1941",86,1,361,1,0,0,0,2
"1942",86,2,130,1,1,0,0,3
"1943",86,3,9,1,0,1,0,5
"1944",86,4,0,0,0,0,1,6
"1945",87,1,17,1,0,0,0,6
"1946",87,2,0,0,1,0,0,5
"1947",87,3,81,1,0,1,0,4
"1948",87,4,402,1,0,0,1,3
"1949",88,1,41,1,0,0,0,3
"1950",88,2,52,1,1,0,0,5
"1951",88,3,0,0,0,1,0,6
"1952",88,4,407,1,0,0,1,2
"1953",89,1,47,1,0,0,0,5
"1954",89,2,0,0,1,0,0,2
"1955",89,3,436,1,0,1,0,4
"1956",89,4,17,1,0,0,1,6
"1961",90,1,24,1,0,0,0,4
"1962",90,2,0,0,1,0,0,6
"1963",90,3,84,1,0,1,0,3
"1964",90,4,392,1,0,0,1,2
"1965",91,1,24,1,0,0,0,4
"1966",91,2,465,1,1,0,0,3
"1967",91,3,0,0,0,1,0,6
"1968",91,4,11,1,0,0,1,5
"1969",92,1,10,1,0,0,0,4
"1970",92,2,483,1,1,0,0,2
"1971",92,3,7,1,0,1,0,6
"1972",92,4,0,0,0,0,1,5
"1973",93,1,0,0,0,0,0,3
"1974",93,2,477,1,1,0,0,2
"1975",93,3,16,1,0,1,0,4
"1976",93,4,7,1,0,0,1,6
"1977",94,1,402,1,0,0,0,2
"1978",94,2,0,0,1,0,0,6
"1979",94,3,27,1,0,1,0,5
"1980",94,4,71,1,0,0,1,3
"1981",95,1,42,1,0,0,0,3
"1982",95,2,57,1,1,0,0,5
"1983",95,3,0,0,0,1,0,4
"1984",95,4,401,1,0,0,1,2
"1985",96,1,20,1,0,0,0,4
"1986",96,2,0,0,1,0,0,6
"1987",96,3,462,1,0,1,0,2
"1988",96,4,18,1,0,0,1,5
"1989",97,1,0,0,0,0,0,5
"1990",97,2,458,1,1,0,0,2
"1991",97,3,10,1,0,1,0,6
"1992",97,4,32,1,0,0,1,3
"1993",98,1,355,1,0,0,0,3
"1994",98,2,130,1,1,0,0,4
"1995",98,3,15,1,0,1,0,6
"1996",98,4,0,0,0,0,1,2
"1997",99,1,383,1,0,0,0,2
"1998",99,2,50,1,1,0,0,5
"1999",99,3,0,0,0,1,0,4
"2000",99,4,67,1,0,0,1,3
"9",100,1,406,1,0,0,0,2
"10",100,2,80,1,1,0,0,4
"11",100,3,0,0,0,1,0,6
"12",100,4,14,1,0,0,1,5
"13",101,1,52,1,0,0,0,5
"14",101,2,0,0,1,0,0,2
"15",101,3,36,1,0,1,0,6
"16",101,4,412,1,0,0,1,4
"17",102,1,8,1,0,0,0,6
"18",102,2,487,1,1,0,0,3
"19",102,3,0,0,0,1,0,2
"20",102,4,5,1,0,0,1,5
"21",103,1,0,0,0,0,0,2
"22",103,2,47,1,1,0,0,6
"23",103,3,414,1,0,1,0,3
"24",103,4,39,1,0,0,1,4
"25",104,1,7,1,0,0,0,5
"26",104,2,104,1,1,0,0,3
"27",104,3,389,1,0,1,0,2
"28",104,4,0,0,0,0,1,4
"29",105,1,15,1,0,0,0,6
"30",105,2,0,0,1,0,0,4
"31",105,3,467,1,0,1,0,3
"32",105,4,18,1,0,0,1,5
"33",106,1,7,1,0,0,0,5
"34",106,2,116,1,1,0,0,3
"35",106,3,0,0,0,1,0,6
"36",106,4,377,1,0,0,1,2
"37",107,1,0,0,0,0,0,3
"38",107,2,88,1,1,0,0,4
"39",107,3,11,1,0,1,0,6
"40",107,4,401,1,0,0,1,2
"41",108,1,0,0,0,0,0,4
"42",108,2,467,1,1,0,0,2
"43",108,3,6,1,0,1,0,5
"44",108,4,27,1,0,0,1,3
"45",109,1,48,1,0,0,0,4
"46",109,2,0,0,1,0,0,6
"47",109,3,430,1,0,1,0,3
"48",109,4,22,1,0,0,1,5
"53",110,1,437,1,0,0,0,2
"54",110,2,0,0,1,0,0,5
"55",110,3,51,1,0,1,0,4
"56",110,4,12,1,0,0,1,6
"57",111,1,449,1,0,0,0,2
"58",111,2,0,0,1,0,0,3
"59",111,3,16,1,0,1,0,6
